 player_id, player, team, position,min,max,ADP,count
15407,"Fitzpatrick, Dez",TEN,WR,32,32,32,1
14777,"Burrow, Joe",CIN,QB,18,88,32.3,6
9099,"Ryan, Matt",ATL,QB,16,87,32.4,7
12652,"Thomas, Michael",NOS,WR,33,33,33,1
14836,"Jefferson, Justin",MIN,WR,34,38,36,2
10697,"Tannehill, Ryan",TEN,QB,19,83,36.5,4
15329,"Pitts, Kyle",ATL,TE,7,68,37.5,2
13629,"Ridley, Calvin",ATL,WR,37,39,38,2
14071,"Montgomery, David",CHI,RB,38,38,38,1
14109,"McLaurin, Terry",WAS,WR,40,40,40,1
15281,"Chase, Ja'Marr",CIN,WR,5,76,40.5,2
15256,"Williams, Javonte",DEN,RB,9,74,41.5,2
15237,"Lawrence, Trevor",JAC,QB,1,109,42.5,4
14832,"Lamb, CeeDee",DAL,WR,43,43,43,1
11678,"Robinson, Allen",CHI,WR,45,45,45,1
13163,"Godwin, Chris",TBB,WR,46,46,46,1
10700,"Cousins, Kirk",MIN,QB,26,91,48.7,3
12151,"Gordon, Melvin",DEN,RB,49,49,49,1
11671,"Evans, Mike",TBB,WR,51,51,51,1
11228,"Woods, Robert",LAR,WR,53,53,53,1
11938,"Thielen, Adam",MIN,WR,54,54,54,1
15282,"Smith, DeVonta",PHI,WR,16,92,54,2
14840,"Aiyuk, Brandon",SFO,WR,55,55,55,1
13590,"Mayfield, Baker",CLE,QB,35,75,55,2
13138,"Hunt, Kareem",CLE,RB,56,56,56,1
13635,"Moore, D.J.",CAR,WR,57,57,57,1
15238,"Fields, Justin",CHI,QB,3,112,57.5,2
13157,"Samuel, Curtis",WAS,WR,58,58,58,1
14835,"Higgins, Tee",CIN,WR,59,59,59,1
15284,"Waddle, Jaylen",MIA,WR,13,107,60,2
13671,"Andrews, Mark",BAL,TE,60,60,60,1
13726,"Edmonds, Chase",ARI,RB,61,61,61,1
15289,"Toney, Kadarius",NYG,WR,20,103,61.5,2
13146,"Conner, James",ARI,RB,62,62,62,1
15239,"Wilson, Zach",NYJ,QB,2,124,63,2
12175,"Cooper, Amari",DAL,WR,63,63,63,1
14208,"Johnson, Diontae",PIT,WR,64,64,64,1
13113,"Watson, Deshaun",HOU,QB,31,101,66,2
13277,"Golladay, Kenny",NYG,WR,66,66,66,1
15288,"Moore, Elijah",NYJ,WR,11,123,67,2
